Class,Method,Smell,LOC,CC,EC,NOP,Tecnicas,Commit,Refactoring,Left Side,Right Side,Full Message
flowctrl.integration.slack.webapi.method.AbstractSearchMethod,validate,Muitos Desvios,12,8,1,1,[D],d3e42ad1866983d965af5c275cd2df723b2bd5d8,EXTRACT_AND_MOVE_OPERATION,public validate(errors List<ValidationError>) : void,"public addError(errors List<ValidationError>, field String, problem Problem) : void",
allbegray.slack.SlackRealTimeMessagingClientTest,basicTest,null,17,1,0,0,null,d290b67823bc65e7f879653ae4944d3641abfdf5,RENAME_METHOD,public basicTest() : void,public main(args String[]) : void,
flowctrl.integration.slack.webapi.SlackWebApiClientImpl,removeReactionToFile,null,5,1,4,2,null,d6ec914b440c25dc16a96945e4d8a6a5d767a5bb,RENAME_METHOD,"public removeReactionToFile(emojiName String, file String) : boolean","public removeReactionFromFile(emojiName String, file String) : boolean",
flowctrl.integration.slack.webapi.SlackWebApiClientImpl,removeReactionToFile,null,5,1,4,2,null,d6ec914b440c25dc16a96945e4d8a6a5d767a5bb,RENAME_METHOD,"public removeReactionToFileComment(emojiName String, file_comment String) : boolean","public removeReactionFromFileComment(emojiName String, file_comment String) : boolean",
flowctrl.integration.slack.webapi.method.users.UserSetPresenceMethod,validate,null,8,4,1,1,null,d3e42ad1866983d965af5c275cd2df723b2bd5d8,EXTRACT_AND_MOVE_OPERATION,public validate(errors List<ValidationError>) : void,"public addError(errors List<ValidationError>, field String, problem Problem) : void",
flowctrl.integration.slack.webapi.method.im.ImMarkMethod,validate,null,8,3,1,1,null,d3e42ad1866983d965af5c275cd2df723b2bd5d8,EXTRACT_AND_MOVE_OPERATION,public validate(errors List<ValidationError>) : void,"public addError(errors List<ValidationError>, field String, problem Problem) : void",
flowctrl.integration.slack.webapi.method.im.ImOpenMethod,validate,null,5,2,1,1,null,d3e42ad1866983d965af5c275cd2df723b2bd5d8,EXTRACT_AND_MOVE_OPERATION,public validate(errors List<ValidationError>) : void,"public addError(errors List<ValidationError>, field String, problem Problem) : void",
flowctrl.integration.slack.webapi.method.channels.ChannelSetTopicMethod,validate,null,8,3,1,1,null,d3e42ad1866983d965af5c275cd2df723b2bd5d8,EXTRACT_AND_MOVE_OPERATION,public validate(errors List<ValidationError>) : void,"public addError(errors List<ValidationError>, field String, problem Problem) : void",
flowctrl.integration.slack.webapi.method.usergroups.UsergroupsCreateMethod,validate,null,5,2,1,1,null,d3e42ad1866983d965af5c275cd2df723b2bd5d8,EXTRACT_AND_MOVE_OPERATION,public validate(errors List<ValidationError>) : void,"public addError(errors List<ValidationError>, field String, problem Problem) : void",
allbegray.slack.webapi.SlackWebApiClientImpl,kickUserFormChannel,null,3,1,3,2,null,37581fb6f54256bc32a1ab1d669abf0afef90f01,RENAME_METHOD,"public kickUserFormChannel(channel String, user String) : boolean","public kickUserFromChannel(channel String, user String) : boolean",
flowctrl.integration.slack.webapi.method.usergroups.users.UsergroupsUsersListMethod,validate,null,5,2,1,1,null,d3e42ad1866983d965af5c275cd2df723b2bd5d8,EXTRACT_AND_MOVE_OPERATION,public validate(errors List<ValidationError>) : void,"public addError(errors List<ValidationError>, field String, problem Problem) : void",
flowctrl.integration.slack.webapi.method.pins.PinsListMethod,validate,null,5,2,1,1,null,d3e42ad1866983d965af5c275cd2df723b2bd5d8,EXTRACT_AND_MOVE_OPERATION,public validate(errors List<ValidationError>) : void,"public addError(errors List<ValidationError>, field String, problem Problem) : void",
flowctrl.integration.slack.webapi.method.channels.ChannelJoinMethod,validate,null,5,2,1,1,null,d3e42ad1866983d965af5c275cd2df723b2bd5d8,EXTRACT_AND_MOVE_OPERATION,public validate(errors List<ValidationError>) : void,"public addError(errors List<ValidationError>, field String, problem Problem) : void",
flowctrl.integration.slack.SlackSearchQueryBuilder,on,null,3,1,2,1,null,3ef51aca1c550b8ba245227f9cbf0aeb0f4bb9ab,RENAME_PACKAGE,flowctrl.integration.slack.RestUtils,allbegray.slack.RestUtils,
flowctrl.integration.slack.SlackSearchQueryBuilder,on,null,3,1,2,1,null,3ef51aca1c550b8ba245227f9cbf0aeb0f4bb9ab,MOVE_CLASS,flowctrl.integration.slack.SlackSearchQueryBuilder,allbegray.slack.SlackSearchQueryBuilder,
flowctrl.integration.slack.SlackSearchQueryBuilder,on,null,3,1,2,1,null,3ef51aca1c550b8ba245227f9cbf0aeb0f4bb9ab,MOVE_CLASS,flowctrl.integration.slack.SlackSearchQueryBuilderTest,allbegray.slack.SlackSearchQueryBuilderTest,
flowctrl.integration.slack.webapi.method.chats.ChatPostMessageMethod,validate,null,8,3,1,1,null,d3e42ad1866983d965af5c275cd2df723b2bd5d8,EXTRACT_AND_MOVE_OPERATION,public validate(errors List<ValidationError>) : void,"public addError(errors List<ValidationError>, field String, problem Problem) : void",
flowctrl.integration.slack.webapi.method.groups.GroupOpenMethod,validate,null,5,2,1,1,null,d3e42ad1866983d965af5c275cd2df723b2bd5d8,EXTRACT_AND_MOVE_OPERATION,public validate(errors List<ValidationError>) : void,"public addError(errors List<ValidationError>, field String, problem Problem) : void",
flowctrl.integration.slack.webapi.method.channels.ChannelRenameMethod,validate,null,8,3,1,1,null,d3e42ad1866983d965af5c275cd2df723b2bd5d8,EXTRACT_AND_MOVE_OPERATION,public validate(errors List<ValidationError>) : void,"public addError(errors List<ValidationError>, field String, problem Problem) : void",
flowctrl.integration.slack.webapi.method.usergroups.UsergroupsDisableMethod,validate,null,5,2,1,1,null,d3e42ad1866983d965af5c275cd2df723b2bd5d8,EXTRACT_AND_MOVE_OPERATION,public validate(errors List<ValidationError>) : void,"public addError(errors List<ValidationError>, field String, problem Problem) : void",
flowctrl.integration.slack.webapi.method.usergroups.users.UsergroupsUsersUpdateMethod,validate,null,8,4,2,1,null,d3e42ad1866983d965af5c275cd2df723b2bd5d8,EXTRACT_AND_MOVE_OPERATION,public validate(errors List<ValidationError>) : void,"public addError(errors List<ValidationError>, field String, problem Problem) : void",
flowctrl.integration.slack.webapi.method.chats.ChatUpdateMethod,validate,null,11,4,1,1,null,d3e42ad1866983d965af5c275cd2df723b2bd5d8,EXTRACT_AND_MOVE_OPERATION,public validate(errors List<ValidationError>) : void,"public addError(errors List<ValidationError>, field String, problem Problem) : void",
flowctrl.integration.slack.SlackSearchQueryBuilder,text,null,15,4,3,1,null,7a36e001096c3e8e25f0604c3af5861d5ff2dffa,EXTRACT_OPERATION,public inChannelName(channelName String) : SlackSearchQueryBuilder,"protected filter(filterName String, prefix String, text String, suffix String) : SlackSearchQueryBuilder",
flowctrl.integration.slack.SlackSearchQueryBuilder,text,null,15,4,3,1,null,7a36e001096c3e8e25f0604c3af5861d5ff2dffa,RENAME_PARAMETER,channelName : String,text : String,
flowctrl.integration.slack.SlackSearchQueryBuilder,text,null,15,4,3,1,null,7a36e001096c3e8e25f0604c3af5861d5ff2dffa,EXTRACT_OPERATION,public inUserName(userName String) : SlackSearchQueryBuilder,"protected filter(filterName String, prefix String, text String, suffix String) : SlackSearchQueryBuilder",
flowctrl.integration.slack.SlackSearchQueryBuilder,text,null,15,4,3,1,null,7a36e001096c3e8e25f0604c3af5861d5ff2dffa,RENAME_PARAMETER,userName : String,text : String,
flowctrl.integration.slack.SlackSearchQueryBuilder,text,null,15,4,3,1,null,7a36e001096c3e8e25f0604c3af5861d5ff2dffa,EXTRACT_OPERATION,public fromUserName(userName String) : SlackSearchQueryBuilder,"protected filter(filterName String, prefix String, text String, suffix String) : SlackSearchQueryBuilder",
flowctrl.integration.slack.SlackSearchQueryBuilder,text,null,15,4,3,1,null,7a36e001096c3e8e25f0604c3af5861d5ff2dffa,RENAME_PARAMETER,userName : String,text : String,
flowctrl.integration.slack.SlackSearchQueryBuilder,text,null,15,4,3,1,null,7a36e001096c3e8e25f0604c3af5861d5ff2dffa,EXTRACT_OPERATION,public hasEmoji(emojiName String) : SlackSearchQueryBuilder,"protected filter(filterName String, prefix String, text String, suffix String) : SlackSearchQueryBuilder",
flowctrl.integration.slack.SlackSearchQueryBuilder,text,null,15,4,3,1,null,7a36e001096c3e8e25f0604c3af5861d5ff2dffa,RENAME_PARAMETER,emojiName : String,text : String,
flowctrl.integration.slack.SlackSearchQueryBuilder,text,null,15,4,3,1,null,7a36e001096c3e8e25f0604c3af5861d5ff2dffa,EXTRACT_OPERATION,"protected filter(prefix String, text String) : SlackSearchQueryBuilder","protected filter(filterName String, prefix String, text String, suffix String) : SlackSearchQueryBuilder",
flowctrl.integration.slack.webapi.method.users.UserGetPresenceMethod,validate,null,5,2,1,1,null,d3e42ad1866983d965af5c275cd2df723b2bd5d8,EXTRACT_AND_MOVE_OPERATION,public validate(errors List<ValidationError>) : void,"public addError(errors List<ValidationError>, field String, problem Problem) : void",
flowctrl.integration.slack.webapi.method.im.ImCloseMethod,validate,null,5,2,1,1,null,d3e42ad1866983d965af5c275cd2df723b2bd5d8,EXTRACT_AND_MOVE_OPERATION,public validate(errors List<ValidationError>) : void,"public addError(errors List<ValidationError>, field String, problem Problem) : void",
allbegray.slack.HelloEventListener,handleMessage,null,3,1,2,1,null,e21a8e275c2f9526fe2d3890983258cbc8f059b2,RENAME_METHOD,public handleMessage(message JsonNode) : void,public onMessage(message JsonNode) : void,
flowctrl.integration.slack.webapi.method.groups.GroupCloseMethod,validate,null,5,2,1,1,null,d3e42ad1866983d965af5c275cd2df723b2bd5d8,EXTRACT_AND_MOVE_OPERATION,public validate(errors List<ValidationError>) : void,"public addError(errors List<ValidationError>, field String, problem Problem) : void",
allbegray.slack.webapi.SlackWebApiClientImpl,kickUserFormGroup,null,3,1,3,2,null,37581fb6f54256bc32a1ab1d669abf0afef90f01,RENAME_METHOD,"public kickUserFormGroup(channel String, user String) : boolean","public kickUserFromGroup(channel String, user String) : boolean",
flowctrl.integration.slack.SlackSearchQueryBuilder,from,null,3,1,2,1,null,7a36e001096c3e8e25f0604c3af5861d5ff2dffa,EXTRACT_OPERATION,public fromUserName(userName String) : SlackSearchQueryBuilder,"protected filter(filterName String, prefix String, text String, suffix String) : SlackSearchQueryBuilder",
flowctrl.integration.slack.SlackSearchQueryBuilder,in,null,3,1,2,1,null,7a36e001096c3e8e25f0604c3af5861d5ff2dffa,RENAME_PARAMETER,prefix : String,filterName : String,
flowctrl.integration.slack.SlackSearchQueryBuilder,in,null,3,1,2,1,null,7a36e001096c3e8e25f0604c3af5861d5ff2dffa,EXTRACT_OPERATION,public inChannelName(channelName String) : SlackSearchQueryBuilder,"protected filter(filterName String, prefix String, text String, suffix String) : SlackSearchQueryBuilder",
flowctrl.integration.slack.SlackSearchQueryBuilder,in,null,3,1,2,1,null,7a36e001096c3e8e25f0604c3af5861d5ff2dffa,RENAME_PARAMETER,channelName : String,text : String,
flowctrl.integration.slack.SlackSearchQueryBuilder,in,null,3,1,2,1,null,7a36e001096c3e8e25f0604c3af5861d5ff2dffa,EXTRACT_OPERATION,public inUserName(userName String) : SlackSearchQueryBuilder,"protected filter(filterName String, prefix String, text String, suffix String) : SlackSearchQueryBuilder",
flowctrl.integration.slack.SlackSearchQueryBuilder,in,null,3,1,2,1,null,7a36e001096c3e8e25f0604c3af5861d5ff2dffa,RENAME_PARAMETER,userName : String,text : String,
flowctrl.integration.slack.SlackSearchQueryBuilder,in,null,3,1,2,1,null,7a36e001096c3e8e25f0604c3af5861d5ff2dffa,EXTRACT_OPERATION,public fromUserName(userName String) : SlackSearchQueryBuilder,"protected filter(filterName String, prefix String, text String, suffix String) : SlackSearchQueryBuilder",
flowctrl.integration.slack.SlackSearchQueryBuilder,in,null,3,1,2,1,null,7a36e001096c3e8e25f0604c3af5861d5ff2dffa,RENAME_PARAMETER,userName : String,text : String,
flowctrl.integration.slack.SlackSearchQueryBuilder,in,null,3,1,2,1,null,7a36e001096c3e8e25f0604c3af5861d5ff2dffa,EXTRACT_OPERATION,public hasEmoji(emojiName String) : SlackSearchQueryBuilder,"protected filter(filterName String, prefix String, text String, suffix String) : SlackSearchQueryBuilder",
flowctrl.integration.slack.SlackSearchQueryBuilder,in,null,3,1,2,1,null,7a36e001096c3e8e25f0604c3af5861d5ff2dffa,RENAME_PARAMETER,emojiName : String,text : String,
flowctrl.integration.slack.SlackSearchQueryBuilder,in,null,3,1,2,1,null,7a36e001096c3e8e25f0604c3af5861d5ff2dffa,EXTRACT_OPERATION,"protected filter(prefix String, text String) : SlackSearchQueryBuilder","protected filter(filterName String, prefix String, text String, suffix String) : SlackSearchQueryBuilder",
flowctrl.integration.slack.webapi.method.usergroups.UsergroupsEnableMethod,validate,null,5,2,1,1,null,d3e42ad1866983d965af5c275cd2df723b2bd5d8,EXTRACT_AND_MOVE_OPERATION,public validate(errors List<ValidationError>) : void,"public addError(errors List<ValidationError>, field String, problem Problem) : void",
flowctrl.integration.slack.webapi.method.channels.ChannelSetPurposeMethod,validate,null,8,3,1,1,null,d3e42ad1866983d965af5c275cd2df723b2bd5d8,EXTRACT_AND_MOVE_OPERATION,public validate(errors List<ValidationError>) : void,"public addError(errors List<ValidationError>, field String, problem Problem) : void",
allbegray.slack.type.Team,getDoamin,null,3,1,1,0,null,9279393f0732e2b79c13e62a1b3367ac55c3ccbf,RENAME_METHOD,public getDoamin() : String,public getDomain() : String,
allbegray.slack.type.Team,setDoamin,null,3,1,2,1,null,9279393f0732e2b79c13e62a1b3367ac55c3ccbf,RENAME_METHOD,public setDoamin(doamin String) : void,public setDomain(domain String) : void,
flowctrl.integration.slack.SlackSearchQueryBuilder,inUserName,null,7,2,2,1,null,7a36e001096c3e8e25f0604c3af5861d5ff2dffa,EXTRACT_OPERATION,public inUserName(userName String) : SlackSearchQueryBuilder,"protected filter(filterName String, prefix String, text String, suffix String) : SlackSearchQueryBuilder",
