Class,Method,Smell,LOC,CC,EC,NOP,Tecnicas,Commit,Refactoring,Left Side,Right Side
com.zegoggles.smssync.mail.MessageConverter,convertMessages,Muitos Desvios,18,3,6,2,[V],6139034f985217b22d8557abdde937f57cb17524,EXTRACT_OPERATION,"public convertMessages(cursor Cursor, maxEntries int, dataType DataType) : ConversionResult","private getMessageMap(cursor Cursor) : Map<String,String>"
com.zegoggles.smssync.auth.TokenRefresher,refreshOAuth2Token,Muitos Desvios,42,8,11,0,"[A, R, D, V, X]",f81a126da93b1bc9de605bc8beb5ada5fb8c4d10,MOVE_OPERATION,public refreshOAuth2Token(context Context) : boolean,public refreshOAuth2Token() : boolean
com.zegoggles.smssync.mail.MessageConverter,convertMessages,Muitos Parametros,18,3,6,2,[V],3b0fbb47593619175fa6e6586d462caca005ba46,EXTRACT_AND_MOVE_OPERATION,"public convertMessages(cursor Cursor, maxEntries int, dataType DataType) : ConversionResult","public add(message Message, map Map<String,String>) : void"
com.zegoggles.smssync.service.BackupTask,backup,Metodo Longo,34,7,11,3,[V],3b0fbb47593619175fa6e6586d462caca005ba46,EXTRACT_AND_MOVE_OPERATION,"private backup(config BackupConfig, smsItems Cursor, mmsItems Cursor, callLogItems Cursor, whatsAppItems Cursor, itemsToSync int) : BackupState",public getMessages() : List<Message>
com.zegoggles.smssync.service.BackupTask,doInBackground,Metodo Longo,52,13,19,1,"[A, R, V, X]",79f7a970e514aa86bd801a6733eab5f06a538f21,EXTRACT_OPERATION,protected doInBackground(params BackupConfig...) : BackupState,private skip() : BackupState
com.zegoggles.smssync.auth.TokenRefresher,refreshOAuth2Token,Alto Acoplamento Efferent,42,8,11,0,"[A, R, D, V, X]",f81a126da93b1bc9de605bc8beb5ada5fb8c4d10,MOVE_OPERATION,public refreshOAuth2Token(context Context) : boolean,public refreshOAuth2Token() : boolean
com.zegoggles.smssync.service.BackupTaskTest,shouldBackupItems,Metodo Longo,15,1,5,0,[V],79f7a970e514aa86bd801a6733eab5f06a538f21,EXTRACT_OPERATION,public shouldBackupItems() : void,"private mockFetch(type DataType, cursor Cursor) : void"
com.zegoggles.smssync.service.BackupTask,handleAuthError,Metodo Longo,20,5,7,2,[V],0355091497614e63a0251d2418b46ff30e9fb66e,EXTRACT_OPERATION,protected doInBackground(params BackupConfig...) : BackupState,"private handleAuthError(config BackupConfig, e XOAuth2AuthenticationFailedException) : BackupState"
com.zegoggles.smssync.mail.HeaderGeneratorTest,testShouldGenerateStandardHeaders,Alto Acoplamento Efferent,14,1,7,0,[V],d02af2e6ab8a3ef9ea5e18c578c6862d299ab96f,RENAME_METHOD,public testShouldGenerateHeader() : void,public testShouldGenerateStandardHeaders() : void
com.zegoggles.smssync.service.RestoreTask,doInBackground,Muitos Desvios,58,19,17,1,"[A, R, D, V, X]",f81a126da93b1bc9de605bc8beb5ada5fb8c4d10,EXTRACT_OPERATION,protected doInBackground(params RestoreConfig...) : RestoreState,"private handleAuthError(config RestoreConfig, currentRestoredItem int, e XOAuth2AuthenticationFailedException) : RestoreState"
com.zegoggles.smssync.service.BackupTask,backup,Muitos Desvios,34,7,11,3,"[A, V, X]",3b0fbb47593619175fa6e6586d462caca005ba46,EXTRACT_AND_MOVE_OPERATION,"private backup(config BackupConfig, smsItems Cursor, mmsItems Cursor, callLogItems Cursor, whatsAppItems Cursor, itemsToSync int) : BackupState",public getMessages() : List<Message>
com.zegoggles.smssync.service.AlarmsTest,verifyAlarmScheduled,Muitos Parametros,18,1,10,2,[V],ecaba6edda278d71f60f449d716f5d5b6745a1b4,RENAME_METHOD,"private verifyAlarm(context Context, scheduled long, expectedType String) : void","private verifyAlarmScheduled(scheduled long, expectedType String) : void"
com.zegoggles.smssync.service.BackupTask,backup,Metodo Longo,34,7,11,3,[V],59b8884ce7737549a2975c7e29b64e43fcf78d58,EXTRACT_AND_MOVE_OPERATION,"private backup(config BackupConfig, smsItems Cursor, mmsItems Cursor, callLogItems Cursor, whatsAppItems Cursor, itemsToSync int) : BackupState",public getFolder(type DataType) : BackupImapStore.BackupFolder
com.zegoggles.smssync.service.BackupTask,handleAuthError,Alto Acoplamento Efferent,20,5,7,2,[V],0355091497614e63a0251d2418b46ff30e9fb66e,EXTRACT_OPERATION,protected doInBackground(params BackupConfig...) : BackupState,"private handleAuthError(config BackupConfig, e XOAuth2AuthenticationFailedException) : BackupState"
com.zegoggles.smssync.auth.TokenRefresher,invalidateToken,Muitos Desvios,12,3,5,1,[V],f81a126da93b1bc9de605bc8beb5ada5fb8c4d10,MOVE_OPERATION,"public invalidateToken(ctx Context, token String) : void",public invalidateToken(token String) : void
com.zegoggles.smssync.mail.MessageConverter,convertMessages,Alto Acoplamento Efferent,18,3,6,2,[V],0ad7c0668a3da32d02c61e98715479b315a18a6e,RENAME_METHOD,"public cursorToMessages(cursor Cursor, maxEntries int, dataType DataType) : ConversionResult","public convertMessages(cursor Cursor, maxEntries int, dataType DataType) : ConversionResult"
com.zegoggles.smssync.mail.BackupImapStore,getFolder,Metodo Longo,17,4,7,1,[V],8e14ad79888c53f0cd2b946c81888cf0badebf17,EXTRACT_OPERATION,public getFolder(type DataType) : BackupFolder,"private createAndOpenFolder(type DataType, label String) : BackupFolder"
com.zegoggles.smssync.service.BackupTask,doInBackground,Muitos Desvios,52,13,19,1,"[A, R, V, X]",0355091497614e63a0251d2418b46ff30e9fb66e,EXTRACT_OPERATION,protected doInBackground(params BackupConfig...) : BackupState,"private handleAuthError(config BackupConfig, e XOAuth2AuthenticationFailedException) : BackupState"
com.zegoggles.smssync.mail.BackupImapStore,getFolder,Alto Acoplamento Efferent,17,4,7,1,"[D, V]",8e14ad79888c53f0cd2b946c81888cf0badebf17,EXTRACT_OPERATION,public getFolder(type DataType) : BackupFolder,"private createAndOpenFolder(type DataType, label String) : BackupFolder"
com.zegoggles.smssync.service.CalendarSyncer,syncCalendar,Metodo Longo,17,4,13,1,[V],3b0fbb47593619175fa6e6586d462caca005ba46,EXTRACT_AND_MOVE_OPERATION,public syncCalendar(result ConversionResult) : void,"public formatForCalendar(callType int, number String, duration int) : String"
com.zegoggles.smssync.service.CalendarSyncer,syncCalendar,Metodo Longo,17,4,13,1,[V],3b0fbb47593619175fa6e6586d462caca005ba46,EXTRACT_AND_MOVE_OPERATION,public syncCalendar(result ConversionResult) : void,"public getMapList() : List<Map<String,String>>"
com.zegoggles.smssync.service.BackupTask,backup,Alto Acoplamento Efferent,34,7,11,3,"[A, R, V, X]",59b8884ce7737549a2975c7e29b64e43fcf78d58,EXTRACT_AND_MOVE_OPERATION,"private backup(config BackupConfig, smsItems Cursor, mmsItems Cursor, callLogItems Cursor, whatsAppItems Cursor, itemsToSync int) : BackupState",public getFolder(type DataType) : BackupImapStore.BackupFolder
com.zegoggles.smssync.mail.MessageConverter,convertMessages,Metodo Longo,18,3,6,2,[V],0ad7c0668a3da32d02c61e98715479b315a18a6e,RENAME_METHOD,"public cursorToMessages(cursor Cursor, maxEntries int, dataType DataType) : ConversionResult","public convertMessages(cursor Cursor, maxEntries int, dataType DataType) : ConversionResult"
com.zegoggles.smssync.service.RestoreTask,doInBackground,Muitos Desvios,58,19,17,1,"[A, R, D, V, X]",8e14ad79888c53f0cd2b946c81888cf0badebf17,EXTRACT_OPERATION,protected doInBackground(params RestoreConfig...) : RestoreState,private restore(config RestoreConfig) : RestoreState
com.zegoggles.smssync.service.BackupTask,doInBackground,Muitos Desvios,52,13,19,1,"[A, R, V, X]",79f7a970e514aa86bd801a6733eab5f06a538f21,EXTRACT_OPERATION,protected doInBackground(params BackupConfig...) : BackupState,private skip() : BackupState
com.zegoggles.smssync.service.BackupTask,backup,Alto Acoplamento Efferent,34,7,11,3,"[A, R, V, X]",6453f6cd12659e70d9daa5d6c93a1c6d94203689,EXTRACT_OPERATION,"private backup(config BackupConfig, smsItems Cursor, mmsItems Cursor, callLogItems Cursor, whatsAppItems Cursor, itemsToSync int) : BackupState",private closeFolders() : void
com.zegoggles.smssync.receiver.SmsBroadcastReceiver,log,Muitos Parametros,6,2,6,3,"[A, V, X]",79f7a970e514aa86bd801a6733eab5f06a538f21,EXTRACT_VARIABLE,0,loginInformationSet : boolean
com.zegoggles.smssync.service.BackupQueryBuilder,groupSelection,Alto Acoplamento Efferent,8,4,6,2,[V],3e1035238d03ded0d221494a88be0fd797d45e6b,EXTRACT_AND_MOVE_OPERATION,"private groupSelection(type DataType, group ContactGroup) : String",public isEveryBody() : boolean
com.zegoggles.smssync.service.BackupTask,backup,Muitos Parametros,34,7,11,3,"[A, V, X]",59b8884ce7737549a2975c7e29b64e43fcf78d58,EXTRACT_AND_MOVE_OPERATION,"private backup(config BackupConfig, smsItems Cursor, mmsItems Cursor, callLogItems Cursor, whatsAppItems Cursor, itemsToSync int) : BackupState",public getFolder(type DataType) : BackupImapStore.BackupFolder
com.zegoggles.smssync.mail.MessageConverter,convertMessages,Metodo Longo,18,3,6,2,[V],3b0fbb47593619175fa6e6586d462caca005ba46,EXTRACT_AND_MOVE_OPERATION,"public convertMessages(cursor Cursor, maxEntries int, dataType DataType) : ConversionResult","public add(message Message, map Map<String,String>) : void"
com.zegoggles.smssync.mail.MessageGenerator,messageFromMapCallLog,Metodo Longo,38,10,16,1,"[A, V, X]",7b01ea66ea455db5967ea2b5e1ac64a379864798,EXTRACT_AND_MOVE_OPERATION,"public messageFromMapCallLog(msgMap Map<String,String>) : Message","public format(callType int, number String, duration int) : String"
com.zegoggles.smssync.mail.MessageConverter,convertMessages,Muitos Desvios,18,3,6,2,[V],3b0fbb47593619175fa6e6586d462caca005ba46,EXTRACT_AND_MOVE_OPERATION,"public convertMessages(cursor Cursor, maxEntries int, dataType DataType) : ConversionResult","public add(message Message, map Map<String,String>) : void"
com.zegoggles.smssync.service.BackupTask,doInBackground,Muitos Desvios,52,13,19,1,"[A, R, V, X]",8e14ad79888c53f0cd2b946c81888cf0badebf17,EXTRACT_OPERATION,protected doInBackground(params BackupConfig...) : BackupState,private acquireLocksAndBackup(config BackupConfig) : BackupState
com.zegoggles.smssync.preferences.Preferences,shouldShowAboutDialog,Alto Acoplamento Efferent,19,3,7,0,[V],79f7a970e514aa86bd801a6733eab5f06a538f21,RENAME_METHOD,public showAboutDialog(ctx Context) : boolean,public shouldShowAboutDialog(ctx Context) : boolean
com.zegoggles.smssync.service.CalendarSyncer,syncCalendar,Muitos Desvios,17,4,13,1,[V],3b0fbb47593619175fa6e6586d462caca005ba46,EXTRACT_AND_MOVE_OPERATION,public syncCalendar(result ConversionResult) : void,"public formatForCalendar(callType int, number String, duration int) : String"
com.zegoggles.smssync.service.CalendarSyncer,syncCalendar,Muitos Desvios,17,4,13,1,[V],3b0fbb47593619175fa6e6586d462caca005ba46,EXTRACT_AND_MOVE_OPERATION,public syncCalendar(result ConversionResult) : void,"public getMapList() : List<Map<String,String>>"
com.zegoggles.smssync.mail.MessageConverter,convertMessages,Muitos Parametros,18,3,6,2,[V],6139034f985217b22d8557abdde937f57cb17524,EXTRACT_OPERATION,"public convertMessages(cursor Cursor, maxEntries int, dataType DataType) : ConversionResult","private getMessageMap(cursor Cursor) : Map<String,String>"
com.zegoggles.smssync.service.BackupQueryBuilder,groupSelection,Muitos Desvios,8,4,6,2,[V],3e1035238d03ded0d221494a88be0fd797d45e6b,EXTRACT_AND_MOVE_OPERATION,"private groupSelection(type DataType, group ContactGroup) : String",public isEveryBody() : boolean
com.zegoggles.smssync.service.RestoreTask,doInBackground,Metodo Longo,58,19,17,1,"[A, R, D, V, X]",f81a126da93b1bc9de605bc8beb5ada5fb8c4d10,EXTRACT_OPERATION,protected doInBackground(params RestoreConfig...) : RestoreState,"private handleAuthError(config RestoreConfig, currentRestoredItem int, e XOAuth2AuthenticationFailedException) : RestoreState"
com.zegoggles.smssync.service.BackupTask,backup,Metodo Longo,34,7,11,3,[V],8e14ad79888c53f0cd2b946c81888cf0badebf17,RENAME_METHOD,"private backup(config BackupConfig, cursors BackupCursors, itemsToSync int) : BackupState","private backupCursors(cursors BackupCursors, store BackupImapStore, backupType BackupType, itemsToSync int) : BackupState"
com.zegoggles.smssync.mail.MessageConverter,convertMessages,Alto Acoplamento Efferent,18,3,6,2,[V],3b0fbb47593619175fa6e6586d462caca005ba46,EXTRACT_AND_MOVE_OPERATION,"public convertMessages(cursor Cursor, maxEntries int, dataType DataType) : ConversionResult","public add(message Message, map Map<String,String>) : void"
com.zegoggles.smssync.service.BackupTask,backup,Muitos Desvios,34,7,11,3,"[A, V, X]",59b8884ce7737549a2975c7e29b64e43fcf78d58,EXTRACT_AND_MOVE_OPERATION,"private backup(config BackupConfig, smsItems Cursor, mmsItems Cursor, callLogItems Cursor, whatsAppItems Cursor, itemsToSync int) : BackupState",public getFolder(type DataType) : BackupImapStore.BackupFolder
com.zegoggles.smssync.service.BackupQueryBuilder,buildMostRecentQueryForDataType,Muitos Desvios,12,4,3,1,[V],79f7a970e514aa86bd801a6733eab5f06a538f21,RENAME_METHOD,"public buildQueryForDataType(type DataType, max int, group ContactGroup) : Query",public buildMostRecentQueryForDataType(type DataType) : Query
com.zegoggles.smssync.service.CalendarSyncer,syncCalendar,Alto Acoplamento Efferent,17,4,13,1,"[A, R, D, V, X]",3b0fbb47593619175fa6e6586d462caca005ba46,EXTRACT_AND_MOVE_OPERATION,public syncCalendar(result ConversionResult) : void,"public formatForCalendar(callType int, number String, duration int) : String"
com.zegoggles.smssync.service.CalendarSyncer,syncCalendar,Alto Acoplamento Efferent,17,4,13,1,"[A, R, D, V, X]",3b0fbb47593619175fa6e6586d462caca005ba46,EXTRACT_AND_MOVE_OPERATION,public syncCalendar(result ConversionResult) : void,"public getMapList() : List<Map<String,String>>"
com.zegoggles.smssync.service.BackupQueryBuilder,groupSelection,Muitos Parametros,8,4,6,2,[V],3e1035238d03ded0d221494a88be0fd797d45e6b,EXTRACT_AND_MOVE_OPERATION,"private groupSelection(type DataType, group ContactGroup) : String",public isEveryBody() : boolean
com.zegoggles.smssync.mail.MessageGenerator,messageFromMapCallLog,Alto Acoplamento Efferent,38,10,16,1,"[A, R, D, V, X]",7b01ea66ea455db5967ea2b5e1ac64a379864798,EXTRACT_AND_MOVE_OPERATION,"public messageFromMapCallLog(msgMap Map<String,String>) : Message","public format(callType int, number String, duration int) : String"
com.zegoggles.smssync.receiver.SmsBroadcastReceiver,log,Alto Acoplamento Efferent,6,2,6,3,"[D, V]",6286127f77546378fd2206347a2f9382a7bc3f61,EXTRACT_OPERATION,private shouldSchedule(context Context) : boolean,"private log(context Context, message String, appLog boolean) : void"
com.zegoggles.smssync.receiver.SmsBroadcastReceiver,log,Alto Acoplamento Efferent,6,2,6,3,"[D, V]",79f7a970e514aa86bd801a6733eab5f06a538f21,EXTRACT_VARIABLE,0,loginInformationSet : boolean
com.zegoggles.smssync.contacts.ContactAccessorPost20,getGroupContactIds,Muitos Parametros,10,4,5,2,[V],3e1035238d03ded0d221494a88be0fd797d45e6b,EXTRACT_AND_MOVE_OPERATION,"public getGroupContactIds(context Context, group ContactGroup) : GroupContactIds","public add(id long, rawId long) : void"
com.zegoggles.smssync.mail.MessageConverter,getMessageMap,Muitos Desvios,21,4,7,1,[V],6139034f985217b22d8557abdde937f57cb17524,EXTRACT_OPERATION,"public convertMessages(cursor Cursor, maxEntries int, dataType DataType) : ConversionResult","private getMessageMap(cursor Cursor) : Map<String,String>"
com.zegoggles.smssync.service.RestoreTask,doInBackground,Metodo Longo,58,19,17,1,"[A, R, D, V, X]",8e14ad79888c53f0cd2b946c81888cf0badebf17,EXTRACT_OPERATION,protected doInBackground(params RestoreConfig...) : RestoreState,private restore(config RestoreConfig) : RestoreState
com.zegoggles.smssync.service.BackupTask,doInBackground,Metodo Longo,52,13,19,1,"[A, R, V, X]",0355091497614e63a0251d2418b46ff30e9fb66e,EXTRACT_OPERATION,protected doInBackground(params BackupConfig...) : BackupState,"private handleAuthError(config BackupConfig, e XOAuth2AuthenticationFailedException) : BackupState"
com.zegoggles.smssync.mail.MessageConverter,getMessageMap,Alto Acoplamento Efferent,21,4,7,1,[V],6139034f985217b22d8557abdde937f57cb17524,EXTRACT_OPERATION,"public convertMessages(cursor Cursor, maxEntries int, dataType DataType) : ConversionResult","private getMessageMap(cursor Cursor) : Map<String,String>"
com.zegoggles.smssync.service.SmsBackupService,handleIntent,Muitos Desvios,30,9,9,1,"[A, R, D, V, X]",8e14ad79888c53f0cd2b946c81888cf0badebf17,EXTRACT_OPERATION,protected handleIntent(intent Intent) : void,"private backup(backupType BackupType, skip boolean) : void"
com.zegoggles.smssync.contacts.ContactAccessorPost20,getGroupContactIds,Muitos Desvios,10,4,5,2,[V],3e1035238d03ded0d221494a88be0fd797d45e6b,EXTRACT_AND_MOVE_OPERATION,"public getGroupContactIds(context Context, group ContactGroup) : GroupContactIds","public add(id long, rawId long) : void"
com.zegoggles.smssync.service.BackupTask,handleAuthError,Muitos Parametros,20,5,7,2,[V],0355091497614e63a0251d2418b46ff30e9fb66e,EXTRACT_OPERATION,protected doInBackground(params BackupConfig...) : BackupState,"private handleAuthError(config BackupConfig, e XOAuth2AuthenticationFailedException) : BackupState"
com.zegoggles.smssync.service.BackupTaskTest,mockFetch,Muitos Parametros,8,1,0,2,[V],79f7a970e514aa86bd801a6733eab5f06a538f21,EXTRACT_OPERATION,public shouldBackupItems() : void,"private mockFetch(type DataType, cursor Cursor) : void"
com.zegoggles.smssync.service.BackupTask,closeFolders,Muitos Desvios,10,3,4,0,[V],8e14ad79888c53f0cd2b946c81888cf0badebf17,MOVE_OPERATION,private closeFolders() : void,public closeFolders() : void
com.zegoggles.smssync.mail.MessageConverter,convertMessages,Muitos Parametros,18,3,6,2,[V],0ad7c0668a3da32d02c61e98715479b315a18a6e,RENAME_METHOD,"public cursorToMessages(cursor Cursor, maxEntries int, dataType DataType) : ConversionResult","public convertMessages(cursor Cursor, maxEntries int, dataType DataType) : ConversionResult"
com.zegoggles.smssync.service.BackupTask,backup,Muitos Parametros,34,7,11,3,"[A, V, X]",8e14ad79888c53f0cd2b946c81888cf0badebf17,RENAME_METHOD,"private backup(config BackupConfig, cursors BackupCursors, itemsToSync int) : BackupState","private backupCursors(cursors BackupCursors, store BackupImapStore, backupType BackupType, itemsToSync int) : BackupState"
com.zegoggles.smssync.mail.HeaderGeneratorTest,testShouldGenerateStandardHeaders,Metodo Longo,14,1,7,0,[V],d02af2e6ab8a3ef9ea5e18c578c6862d299ab96f,RENAME_METHOD,public testShouldGenerateHeader() : void,public testShouldGenerateStandardHeaders() : void
com.zegoggles.smssync.activity.MainActivity,getEnabledBackupSummary,Metodo Longo,20,5,7,0,[V],d682b669253e5d0283cfc2d93b528001c95d4536,EXTRACT_OPERATION,private updateAutoBackupEnabledSummary() : void,protected getEnabledBackupSummary() : String
com.zegoggles.smssync.service.SmsBackupService,handleIntent,Metodo Longo,30,9,9,1,"[D, V]",ecaba6edda278d71f60f449d716f5d5b6745a1b4,EXTRACT_OPERATION,protected handleIntent(intent Intent) : void,private moveToState(state BackupState) : void
com.zegoggles.smssync.service.BulkFetcher,fetch,Muitos Desvios,13,4,8,3,[V],947d80faa4a2b2f5652d39aec0e01a9e403641f5,MOVE_OPERATION,"package fetch(fetcher BackupItemsFetcher, groups ContactGroupIds, max int, types EnumSet<DataType>) : BackupCursors","public fetch(types EnumSet<DataType>, groups ContactGroupIds, maxItems int) : BackupCursors"
com.zegoggles.smssync.service.BackupTask,doInBackground,Alto Acoplamento Efferent,52,13,19,1,"[A, R, D, V, X]",79f7a970e514aa86bd801a6733eab5f06a538f21,EXTRACT_OPERATION,protected doInBackground(params BackupConfig...) : BackupState,private skip() : BackupState
com.zegoggles.smssync.service.BackupTask,backup,Alto Acoplamento Efferent,34,7,11,3,"[A, R, V, X]",3b0fbb47593619175fa6e6586d462caca005ba46,EXTRACT_AND_MOVE_OPERATION,"private backup(config BackupConfig, smsItems Cursor, mmsItems Cursor, callLogItems Cursor, whatsAppItems Cursor, itemsToSync int) : BackupState",public getMessages() : List<Message>
com.zegoggles.smssync.service.BackupTask,getFolder,Muitos Parametros,8,2,4,2,[V],59b8884ce7737549a2975c7e29b64e43fcf78d58,EXTRACT_AND_MOVE_OPERATION,"private backup(config BackupConfig, smsItems Cursor, mmsItems Cursor, callLogItems Cursor, whatsAppItems Cursor, itemsToSync int) : BackupState",public getFolder(type DataType) : BackupImapStore.BackupFolder
com.zegoggles.smssync.mail.MessageConverter,convertMessages,Muitos Desvios,18,3,6,2,[V],0ad7c0668a3da32d02c61e98715479b315a18a6e,RENAME_METHOD,"public cursorToMessages(cursor Cursor, maxEntries int, dataType DataType) : ConversionResult","public convertMessages(cursor Cursor, maxEntries int, dataType DataType) : ConversionResult"
com.zegoggles.smssync.service.BulkFetcher,fetch,Alto Acoplamento Efferent,13,4,8,3,[V],947d80faa4a2b2f5652d39aec0e01a9e403641f5,MOVE_OPERATION,"package fetch(fetcher BackupItemsFetcher, groups ContactGroupIds, max int, types EnumSet<DataType>) : BackupCursors","public fetch(types EnumSet<DataType>, groups ContactGroupIds, maxItems int) : BackupCursors"
com.zegoggles.smssync.service.BackupTask,backup,Muitos Desvios,34,7,11,3,"[A, V, X]",6453f6cd12659e70d9daa5d6c93a1c6d94203689,EXTRACT_OPERATION,"private backup(config BackupConfig, smsItems Cursor, mmsItems Cursor, callLogItems Cursor, whatsAppItems Cursor, itemsToSync int) : BackupState",private closeFolders() : void
com.zegoggles.smssync.service.SmsBackupService,handleIntent,Metodo Longo,30,9,9,1,"[D, V]",8e14ad79888c53f0cd2b946c81888cf0badebf17,EXTRACT_OPERATION,protected handleIntent(intent Intent) : void,"private backup(backupType BackupType, skip boolean) : void"
com.zegoggles.smssync.service.RestoreTask,doInBackground,Alto Acoplamento Efferent,58,19,17,1,"[A, R, D, V, X]",f81a126da93b1bc9de605bc8beb5ada5fb8c4d10,EXTRACT_OPERATION,protected doInBackground(params RestoreConfig...) : RestoreState,"private handleAuthError(config RestoreConfig, currentRestoredItem int, e XOAuth2AuthenticationFailedException) : RestoreState"
com.zegoggles.smssync.service.RestoreTask,handleAuthError,Muitos Desvios,20,5,8,3,[V],f81a126da93b1bc9de605bc8beb5ada5fb8c4d10,EXTRACT_OPERATION,protected doInBackground(params RestoreConfig...) : RestoreState,"private handleAuthError(config RestoreConfig, currentRestoredItem int, e XOAuth2AuthenticationFailedException) : RestoreState"
com.zegoggles.smssync.activity.MainActivity,getEnabledBackupSummary,Muitos Desvios,20,5,7,0,[V],d682b669253e5d0283cfc2d93b528001c95d4536,EXTRACT_OPERATION,private updateAutoBackupEnabledSummary() : void,protected getEnabledBackupSummary() : String
com.zegoggles.smssync.auth.TokenRefresher,refreshOAuth2Token,Metodo Longo,42,8,11,0,"[A, R, D, V, X]",f81a126da93b1bc9de605bc8beb5ada5fb8c4d10,MOVE_OPERATION,public refreshOAuth2Token(context Context) : boolean,public refreshOAuth2Token() : boolean
com.zegoggles.smssync.service.BackupTask,backup,Alto Acoplamento Efferent,34,7,11,3,"[A, R, V, X]",8e14ad79888c53f0cd2b946c81888cf0badebf17,RENAME_METHOD,"private backup(config BackupConfig, cursors BackupCursors, itemsToSync int) : BackupState","private backupCursors(cursors BackupCursors, store BackupImapStore, backupType BackupType, itemsToSync int) : BackupState"
com.zegoggles.smssync.service.BackupTask,backup,Metodo Longo,34,7,11,3,[V],6453f6cd12659e70d9daa5d6c93a1c6d94203689,EXTRACT_OPERATION,"private backup(config BackupConfig, smsItems Cursor, mmsItems Cursor, callLogItems Cursor, whatsAppItems Cursor, itemsToSync int) : BackupState",private closeFolders() : void
com.zegoggles.smssync.mail.MessageConverter,convertMessages,Alto Acoplamento Efferent,18,3,6,2,[V],6139034f985217b22d8557abdde937f57cb17524,EXTRACT_OPERATION,"public convertMessages(cursor Cursor, maxEntries int, dataType DataType) : ConversionResult","private getMessageMap(cursor Cursor) : Map<String,String>"
