DesignRoleTechnique;LOC;CC;Efferent;NOP;
UNDEFINED;52;11;14;4;
[IPREDICATE];21;6;7;3;
[FEATURE];21;4;7;3;
ABSTRACTFEATURESORTER;21;4;7;3;
ABSTRACTATTRIBUTEDTYPE;21;4;7;3;
[TAGLET];21;4;7;3;
[IADDMILESTONECOMMAND];21;4;7;3;
[IURLHANDLERREGISTRY];21;4;7;3;
JCASRESOURCECOLLECTIONREADER_IMPLBASE;212;47;34;11;
ALLOCATIONMODIFICATION;21;4;7;3;
HESSIANPROXY;21;4;7;3;
[ANNOTATIONEDITOREXTENSIONREGISTRY];21;4;8;8;
[SERVLETCONTEXTINITIALIZER];21;4;7;3;
[ATTRIBUTECONVERTER];21;4;7;3;
STEPRESULT;21;4;7;3;
[RENDERER];21;4;7;3;
ABSTRACTDEFAULTAJAXBEHAVIOR;21;4;7;3;
[REQUESTPAYLOAD];21;4;7;3;
SPRINGBOOTSERVLETINITIALIZER;21;4;7;3;
FORMAUTHENTICATIONFILTER;22;5;10;4;
[LAYERINITIALIZER];24;4;11;3;
STARTUPFILTER;354;61;20;3;
PREFERENCES;27;6;7;3;
[IADVANCECONSOLIDATIONCOMMAND];21;4;7;3;
GJNOARGUDEPTHFIRST;21;4;7;3;
[REFERENCESEQUENCEFILE];21;4;10;3;
[CREDENTIALS];21;4;7;3;
ABSTRACTCONTEXTLOADER;21;4;7;3;
HBOX;21;5;7;3;
[COMMENT];21;4;7;3;
CONSTRAINT;21;7;7;3;
[JSONSERIALIZER];21;5;8;3;
[DBKEY| VALIDATABLE];21;4;7;3;
[COLUMNAFFINITY];21;4;7;3;
[PRERENDERER];21;4;9;5;
RECORDREADER;22;6;10;3;
COOKIECOMPARATORRESULT;21;4;7;3;
JQUERYPLUGINRESOURCEREFERENCE;21;4;7;3;
CHAINBASE;21;4;7;3;
INTERVAL;21;4;7;3;
OBSERVABLE;29;5;9;3;
PROPERTYPLACEHOLDERCONFIGURER;21;4;7;3;
REQUIRENAMEVALIDATOR;21;5;7;3;
[ISCENARIOMANAGER];21;4;7;3;
BASERICHSPOUT;21;4;7;3;
DIV;41;7;7;3;
OPERATION;21;4;7;3;
ABSTRACTMESSAGESOURCE;21;4;7;3;
LINKEDAPIREQUESTMANAGER;100;27;13;4;
HTTPDATAMANAGER;21;4;11;5;
OPENMRSMEMENTO;21;4;7;3;
[IBINDINGORDERELEMENTSTRATEGY];21;4;7;3;
ABSTRACTMOJO;21;4;7;3;
[IBANDBOXFINDER];21;4;7;3;
BASEAUTHENTICATOR;21;4;7;3;
[GENEFEATURE];34;11;7;3;
BASICPHASECONVERTER;21;4;10;3;
ACTIVEDIRECTORYREALM;35;5;13;3;
[MODULEACTIVATOR];21;4;7;3;
[MAILMESSAGE];21;4;7;3;
[ITASKFUNDAMENTALPROPERTIES];21;4;7;3;
EMPTYINTERCEPTOR;36;14;16;6;
[ICOSTCALCULATOR];21;9;8;4;
[GSTAG];21;4;7;3;
[IRESOURCE];21;4;7;3;
[MESSAGEPREPARATOR];21;4;8;3;
TERMMAP;21;4;7;3;
[ITAB];21;4;7;3;
CHOICERENDERER;21;4;7;3;
DEFAULTLDAPREALM;22;5;10;3;
BASECUSTOMIZABLEVALIDATOR;123;37;22;3;
[ICONFIGURATIONBOOTSTRAP];21;4;7;3;
[IBASECOMPOMENT];21;4;7;3;
TEST;36;4;11;3;
[IDATABOOTSTRAP];21;4;7;3;
CONFIGURED;37;8;13;3;
[COMPARATOR];56;21;13;5;
AJAXLINK;24;6;7;3;
[REPAIR];42;14;13;3;
[ICONVERTER];21;4;7;3;
BASEATTRIBUTETYPEVALIDATOR;21;5;7;3;
[STATUSPROCESSOR];21;4;7;3;
HTMLMACROCOMPONENT;28;4;7;3;
REDUCER;31;7;16;3;
[CHECK];49;11;19;3;
[COLLECTORJOB];28;4;9;3;
INPUTNUMBERRENDERER;34;8;7;4;
[HANDLER];32;9;9;4;
DEFAULTWEIGHTEDEDGE;21;8;12;3;
AJAXRESPONSE;21;4;7;3;
FORM;40;10;14;3;
[USERTYPE];21;4;7;4;
INTERVALTREEMAP;21;6;7;3;
SEQUENCEFILEINPUTFORMAT;21;4;7;3;
[TRIPLESMAPGRAPHDAGIFIER];47;12;11;4;
ENTITIESTREE;21;4;7;3;
ABSTRACTGENEREADER;24;8;11;5;
ACTION;73;13;15;3;
[WEBBINDINGINITIALIZER];38;4;38;3;
[MESSAGESENDER];28;7;7;3;
BASECHAINCOMMANDSUPPORT;330;28;25;5;
[ITERABLE];21;4;7;3;
JFRAME;27;4;7;3;
STEPPROPERTIES;21;4;7;3;
HESSIANPROXYFACTORY;21;4;9;3;
GENERICUDF;24;6;12;3;
CONTEXTLOADER;54;14;17;3;
BASERICHBOLT;42;12;11;3;
ADAPTER;41;8;13;5;
[COMMANDHANDLER];21;4;7;3;
[ITREEPARENTNODE];21;4;7;3;
[VERIFIABLE];21;4;7;3;
AJAXSUBMITLINK;21;4;7;3;
[ANNOTATIONSIDEBARREGISTRY];21;4;7;3;
PERSISTENTENUMUSERTYPE;21;4;7;3;
SEARCHQUERY;29;7;13;3;
[FEATURESUPPORT];23;6;12;5;
[PROJECTEXPORTER];44;12;19;4;
[FILTERCONFIG];21;4;7;3;
[MESSAGECONVERTER];29;6;12;3;
DAEMON;26;4;7;3;
[IDATESMAPPER];21;4;7;3;
[BASICMESSAGE];21;4;7;3;
LISTIMAGECAPTCHAENGINE;21;4;18;3;
STRUTSRESULTSUPPORT;132;25;31;3;
[SORTINGCOLLECTION.CODEC];21;5;7;3;
AUTHENTICATEDWEBSESSION;21;4;11;3;
PERSISTENCE;42;10;13;5;
[CALLABLE];67;10;17;3;
[IDISABILITYCONFIGURATION];21;4;7;3;
CELLVALUE;21;4;7;3;
AUTHORIZINGREALM;22;5;11;3;
[VOIDHANDLER];21;6;9;4;
MAPPER;35;14;11;3;
[REMOTEAPIPROPERTIES];21;4;7;3;
PANEL;81;14;18;3;
DIALOG;21;4;7;3;
WRITER;21;4;7;3;
[APPLICATIONCONTEXTINITIALIZER];21;4;11;3;
REQUESTHEADERAUTHENTICATIONFILTER;23;4;13;3;
[CLOSEABLE];21;4;7;3;
[IALIGNMENTSAVER| IHISTORYSAVER];21;6;11;5;
ANNOTATIONEDITORFACTORYIMPLBASE;21;4;7;4;
[OPERATOR];21;4;7;3;
XULELEMENT;21;4;7;3;
CONTROLLER;31;7;11;3;
HIBERNATEJPADIALECT;21;4;7;3;
ABSTRACTBASECREDENTIALS;21;4;7;3;
ONCEPERREQUESTFILTER;35;7;12;3;
JRABSTRACTSCRIPTLET;21;4;7;3;
CHARTFILLER;21;4;8;3;
[NGGBBEDFEATURE];21;4;7;3;
[COMPOSER];25;5;9;3;
ABSTRACTTAB;21;4;7;3;
[UNRETIREHANDLER];21;4;7;4;
COLUMN;21;4;7;3;
URLCLASSLOADER;118;29;22;4;
[FEATURESUPPORTREGISTRY];22;7;7;3;
[TYPEFILTER];33;11;9;3;
[AUTHENTICATIONPROVIDER];21;4;7;3;
[VALIDATOR];114;35;16;4;
[ROWRENDERER];21;4;7;3;
JCASFILEWRITER_IMPLBASE;152;62;28;6;
[IHOURSGROUPHANDLER];52;11;7;3;
ALLOCATIONROW;21;4;7;4;
ROOTSTRATEGY;21;4;7;3;
TIMETRACKERSTATE;21;4;7;3;
[APPLICATIONCONTEXTAWARE];35;12;11;3;
[IITEMREUSESTRATEGY];30;4;7;3;
ABSTRACTTASK;21;7;12;3;
CALENDARRENDERER;40;12;7;5;
TASK;21;4;7;3;
ROUTEBUILDER;32;4;7;3;
[IVISITOR];23;6;7;3;
[EVALUATOR];53;11;11;3;
[APPLICATIONEVENTPUBLISHERHOLDER];21;4;7;3;
[IUSERSBOOTSTRAPINDB];21;4;7;3;
PERSONVALIDATOR;29;10;11;3;
[PROJECTSETTINGSPANELREGISTRY];21;4;7;3;
HTTPSERVLETRESPONSEWRAPPER;21;5;7;3;
CREATESEQUENCEFILE;21;4;7;3;
[PARAMETRIZEDSTEP];21;4;7;3;
AJAXFORMSUBMITBEHAVIOR;21;4;7;3;
BASEHYPHENATEDIDENTIFIERVALIDATOR;21;4;7;3;
ASYNCTASK;39;6;8;3;
[ICONVERTERFACTORY];21;4;7;3;
[CUSTOMDATATYPEHANDLER];21;4;7;3;
[AUTOCLOSEABLE];29;11;7;3;
APPENDERSKELETON;21;4;7;3;
USERNAMEPASSWORDTOKEN;21;4;7;3;
BASERDFIMPL;21;4;7;3;
[ERRORMESSAGE];21;4;7;3;
[HTTPREQUESTEXECUTOR];21;4;15;3;
GENOTYPE;21;4;7;3;
RESOURCECOLLECTIONREADERBASE;73;26;12;4;
APPLICATION;85;12;16;6;
[TAGSETINITIALIZER];21;4;7;3;
JRDEFAULTSCRIPTLET;21;4;7;3;
ENTITY;37;8;8;3;
ABSTRACTSIMPLECOMMANDHANDLER;29;7;12;3;
JOBDATA;21;4;7;3;
[METHODBEFOREADVICE];62;20;16;6;
[TRANSFORMOPERATOR];21;4;7;3;
RESOURCETOOL;21;5;7;3;
BASEENCOUNTERVISITHANDLER;29;9;10;3;
[SAVEHANDLER];52;22;15;4;
[INTERCEPTOR];21;7;10;6;
[LAYERSUPPORTREGISTRY];21;7;7;3;
ABSTRACTMODULE;21;4;7;3;
CXFSERVLET;21;4;7;3;
[SYSTEMMESSAGEPROVIDE];21;4;7;3;
[IUSESSLOGHELPER];21;4;7;3;
SIMPLEDATEFORMAT;21;4;7;3;
[IASSIGNEDEFFORTFORRESOURCE];21;4;7;3;
[RDFPARSER];269;60;12;3;
[VALIDATIONRESULTBUILDER];21;4;7;3;
AJAXFORMCOMPONENTUPDATINGBEHAVIOR;21;4;7;3;
PYTHONTRANSFORMATIONTOKENVISTOR;21;4;7;3;
[LAYERBEHAVIORREGISTRY];21;4;7;3;
[INJECTORSOURCE];21;4;7;3;
ABSTRACTAJAXBEHAVIOR;21;4;7;3;
ABSTRACTCONFIG;21;4;7;4;
[ILOADCHARTDATA];27;4;7;3;
QUEUETASKGENERATOR;21;4;7;3;
[MENUITEM];21;4;7;3;
[IDENTIFIERVALIDATOR];53;15;7;3;
[IDELETEMILESTONECOMMAND];21;4;7;3;
[RESOURCE];21;4;7;3;
[OBSERVER];21;4;7;3;
DROPDOWNCHOICE;21;4;7;3;
ABSTRACTINTERCEPTOR;64;17;22;4;
[JOB];31;4;13;3;
[CUSTOMDATATYPE];21;4;7;3;
[LOGICALOPERATOR];21;4;7;3;
BLOOMFILTER;21;4;8;3;
[IADVANCEDALLOCATIONCOMMAND];21;4;7;3;
STATELESSLINK;21;4;7;3;
[SEGFEATURE];21;4;7;3;
NODE;21;11;7;3;
RDFGENERATOR;81;14;21;13;
[DBKEY];21;4;7;3;
CHARTRESULT;24;7;7;3;
[BANNER];21;4;7;3;
[JSONIZABLE];65;23;14;9;
PROVIDER;21;4;7;3;
SOURCE;40;11;17;5;
[TEMPLATETERMSETPOPULATORSTRATEGY];21;4;7;3;
ABSTRACTVCFREADER;50;18;13;7;
[COLLECTOR];21;4;7;3;
[ICALENDARBOOTSTRAP];21;4;7;3;
ABSTRACTJDBCUTIL;21;4;8;8;
TREENODEONLIST;21;4;7;3;
MESSAGEBODY;21;4;7;3;
BUTTON;21;4;7;3;
EXCEPTION;28;6;12;3;
UPDATEVISITOR;55;7;14;5;
SERIALIZINGCUSTOMDATATYPE;21;4;7;3;
[PROJECTSETTINGSPANELFACTORY];21;4;7;3;
[BRATPROPERTIES];21;4;7;3;
DEFAULTWEBSECURITYMANAGER;21;4;7;3;
[FUNCTION];21;4;7;3;
SORTABLEDATAPROVIDER;21;4;7;3;
RENDERER_IMPLBASE;59;15;26;7;
AJAXBUTTON;21;4;7;3;
[ISUBCONTRACTCOMMAND];21;4;7;3;
RESPONSEBODYEMITTER;21;4;7;3;
[IWORKREPORTTYPEBOOTSTRAP];21;4;7;3;
[METHODINTERCEPTOR];83;27;21;3;
ORDERVALIDATOR;30;11;7;3;
ALLOCATIONSPEC;21;4;9;3;
AVRORECORDREADERBASE;21;4;7;3;
GENERICFORWARDCOMPOSER;28;5;7;3;
[IREASSIGNCOMMAND];31;4;7;3;
PYTHONTRANSFORMATIONTOKEN;21;4;7;3;
KARMAMETADATA;40;11;9;3;
MODALWINDOW;23;5;8;3;
ANNOTATIONSIDEBARFACTORY_IMPLBASE;21;4;7;5;
[ANNOTATIONEDITORREGISTRY];21;4;7;3;
DECIMALBOX;21;4;7;3;
[ITASKPROPERTIESCOMMAND];21;4;7;3;
[CLOSEABLETRIBBLEITERATOR];21;5;12;3;
CHARACTERESCAPES;21;4;7;3;
TEXTINPUTFORMAT;21;12;7;3;
LESSRESOURCEREFERENCE;21;4;7;3;
[COMPLETIONAWAREAGGREGATIONSTRATEGY];21;4;7;3;
[CONVERTER];21;4;7;3;
WEBELEMENTSLOCATORPARAMS;26;5;13;3;
[UICOMPONENT];35;8;10;3;
[YESNOKEYPROVIDE];21;4;7;3;
[ITERATOR];21;4;7;3;
W3CHTML5COMPARATORJOB;21;4;11;3;
VIEW;78;10;17;3;
[SEQUENCECODEC];42;11;7;3;
BOOTSTRAPJAVASCRIPTBEHAVIOR;21;4;7;3;
CONTEXTUALRELATIONSHIPMANAGER;21;4;7;3;
[IFINDER];21;7;7;3;
[FILEDISTRIBUTIONSTRATEGY];21;4;9;3;
WICKETBOOTSECUREDWEBAPPLICATION;21;4;8;3;
LABEL;21;4;7;3;
ABSTRACTFILEDISTRIBUTIONSTRATEGY;21;4;7;3;
[IMULTIPLEFILTERSFINDER];21;5;7;3;
[ICRITERIONTYPEPROVIDER];21;4;7;3;
[ICRITERIONTYPE];21;4;7;3;
[IDETAILITEMMODIFICATOR];24;10;7;3;
ASARRAYSERIALIZERBASE;31;7;12;4;
[LAYERBEHAVIOR];21;4;7;5;
BASECOMPOMENT;21;4;8;3;
GFFFEATURE;21;7;7;3;
ABSTRACTHANDLER;54;11;17;3;
[FORMATSUPPORT];50;14;14;3;
[STRINGBRIDGE];21;4;7;3;
[DOSINGINSTRUCTIONS];29;5;7;3;
[X509TRUSTMANAGER];21;4;7;3;
HTTPSERVLET;112;9;12;3;
MAPPLAN;21;6;9;4;
[IEDITTASKUTILITIES];21;4;7;3;
JDBCUSERDETAILSMANAGER;21;4;9;3;
TEMPLATETERMSETPOPULATORPLAN;42;8;15;3;
[INEWOBJECT];21;4;7;3;
HOURSGROUPHANDLER;21;4;7;3;
MULTIPLEFILTERSFINDER;21;6;7;3;
[PROXYSERVERWRAPPER];28;4;15;3;
SCALARSERIALIZERBASE;21;4;7;3;
BEHAVIOR;21;4;7;3;
[ICHARTFILLER];21;4;7;4;
MODECASE;21;4;7;3;
[ILABELBOOTSTRAP];21;4;7;3;
LISTCHOICE;21;4;7;4;
JAVASCRIPTRESOURCEREFERENCE;21;4;14;3;
GJVOIDDEPTHFIRST;21;4;8;3;
HTTPSERVLETREQUESTWRAPPER;32;5;8;3;
[MENUITEMREGISTRY];21;4;7;3;
[ENCOUNTERVISITHANDLER];21;4;7;3;
[BRATMETRICS];21;4;7;4;
[ICALENDARALLOCATIONCOMMAND];21;4;7;3;
R2RMLMAPPING;21;4;7;3;
BANDBOXFINDER;21;4;7;3;
COLLECTIONPART;21;4;7;5;
[EXPECTEDCONDITION];21;4;7;3;
[OPERAND];21;8;7;3;
[IEXECUTORRETRIEVER];21;4;7;3;
FEEDBACKPANEL;21;6;7;3;
OPERATIONSTATUS;21;4;7;3;
TEXTBOX;21;4;7;3;
ABSTRACTUSERDETAILSAUTHENTICATIONPROVIDER;37;10;11;3;
[TOMCATCONFIGURER];21;4;7;3;
[PREDICATE];21;4;7;3;
FIELD;21;4;7;3;
CRITERIONREQUIREMENTHANDLER;21;4;9;3;
ABSTRACTWIGPROCESSOR;35;7;23;4;
[ICONTEXTWITHPLANNERTASK];21;4;7;3;
[RETIREHANDLER];21;5;7;4;
[SMARTLIFECYCLE];27;5;10;5;
DISPATCHERSERVLET;21;4;7;3;
WEBMARKUPCONTAINER;68;18;20;7;
[CUSTOMTASKCHANGE];115;20;29;3;
ASCIIFEATURECODEC;65;5;12;3;
OBJECTMAPPER;21;4;7;3;
[COMPARATORJOB];31;6;16;3;
IMPORT;50;12;15;5;
LINKEDHASHMAP;150;58;12;5;
[FILTERCHAIN];21;4;7;3;
[ORDERNUMBERGENERATOR];21;4;7;3;
COMBOBOX;21;4;7;3;
AJAXTABBEDPANEL;21;4;7;3;
TYPESAFEMATCHER;21;4;7;3;
ARRAYLIST;43;20;9;3;
FILEINPUTFORMAT;21;4;7;3;
GRID;21;4;7;3;
MODEL;52;11;14;4;
CSSRESOURCEREFERENCE;21;4;7;3;
SEQUENCEFILEASTEXTINPUTFORMAT;21;4;7;3;
AJAXFORMCHOICECOMPONENTUPDATINGBEHAVIOR;21;4;7;3;
[MARKER];21;4;7;3;
BASEOPENMRSOBJECT;30;8;7;3;
TIMERTASK;21;4;7;3;
[ISCENARIOSBOOTSTRAP];21;5;7;3;
CUSTOMTOOLTIPBEHAVIOR;21;4;7;3;
[ITYPEOFWORKHOURSBOOTSTRAP];21;4;7;3;
[LISTITEMRENDERER];21;4;7;3;
[ICALENDAR];21;4;7;3;
[WEBCOMMUNICATIONWRAPPER];21;4;7;3;
[APPLICATION];221;56;35;4;
[UNVOIDHANDLER];25;12;15;4;
[ICONTEXT];23;5;9;3;
[RESOURCEACCESSOR];21;4;7;3;
KR2RMLRDFWRITER;43;12;11;6;
UDF;33;10;9;5;
[JSONDESERIALIZER];21;4;10;3;
[VCFREADER];21;4;7;4;
[PROCESSOR];21;4;7;3;
SERVICE;39;9;14;4;
[LIST];21;4;7;3;
[IDEPENDENCY];21;4;8;3;
[TYPECONVERTER];21;4;7;3;
[MAFFEATURE];21;7;7;3;
DEFAULTPARTITIONMANAGER;21;4;7;3;
[CUSTOMPRECONDITION];21;4;8;3;
ABSTRACTDATAMODIFIERJOB;21;6;8;3;
[RESPONSEHANDLER];21;4;7;3;
KR2RMLCOLUMNNAMEFORMATTER;21;4;7;3;
DATE;21;4;7;3;
[IASSIGNMENTFUNCTIONCONFIGURATION];21;4;7;3;
[IMATERIALCATEGORYBOOTSTRAP];21;4;7;3;
RELOADABLERESOURCEBUNDLEMESSAGESOURCE;41;10;15;3;
[COMPARISONOPERATOR];21;4;7;3;
[PAGINGSTRATEGY];21;4;7;3;
[IGRAPHICGENERATOR];27;5;11;4;
DYNAMICIMAGERESOURCE;21;4;7;3;
COMBINEDWORKHOURS;21;4;7;3;
[MESSAGEPROCESSOR];21;4;7;3;
ABSTRACTFEATUREREADER;21;4;7;3;
ABSTRACTHTTPMESSAGECONVERTER;21;5;7;3;
[AUTHENTICATIONSCHEME];21;4;7;3;
[FILTER];51;13;17;3;
LOADPERIODGENERATOR;21;4;7;3;
[IRESOURCEALLOCATIONCOMMAND];21;4;7;3;
[JSONLDTRIPLECALLBACK];124;27;18;5;
TAGSUPPORT;45;9;7;3;
[OPENMRSSERIALIZER];21;4;7;3;
[AUTHENTICATED];21;4;7;3;
TEMPLATETERM;21;4;7;3;
[OID];21;4;7;3;
[IAUTOUPDATEDSNAPSHOT];23;4;7;4;
USER;21;6;7;3;
[IADVANCEASSIGNMENTPLANNINGCOMMAND];21;4;7;3;
BUILDER;21;4;7;3;
[DATAFILTERJOB];21;6;11;3;
APPLICATIONEVENT;25;4;7;3;
SECURITYMANAGER;21;4;7;3;
[NODEVISITOR];21;4;7;3;
[ICRITERIONSBOOTSTRAP];21;4;7;3;
[TASK];21;4;7;3;
[DOWNSAMPLINGSIFTER];25;8;9;6;
